Id,NewActivityDate,DatOfWeek,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,
1503960366,25/03/2016,Friday,11004,7.110000134,33,12,205,804,1819,0.5473483546
1503960366,26/03/2016,Saturday,17609,11.55000019,89,17,274,588,2154,0.5473483546
1503960366,27/03/2016,Sunday,12736,8.529999733,56,5,268,605,1944,0.5473483546
1503960366,28/03/2016,Monday,13231,8.930000305,39,20,224,1080,1932,0.5473483546
1503960366,29/03/2016,Tuesday,12041,7.849999905,28,28,243,763,1886,0.5473483546
1503960366,30/03/2016,Wednesday,10970,7.159999847,30,13,223,1174,1820,0.5473483546
1503960366,31/03/2016,Thursday,12256,7.860000134,33,12,239,820,1889,0.5473483546
1503960366,01/04/2016,Friday,12262,7.869999886,47,21,200,866,1868,0.5473483546
1503960366,02/04/2016,Saturday,11248,7.25,40,11,244,636,1843,0.5473483546
1503960366,03/04/2016,Sunday,10016,6.369999886,15,30,314,655,1850,0.5473483546
1503960366,04/04/2016,Monday,14557,9.800000191,43,18,285,757,2030,0.5473483546
1503960366,05/04/2016,Tuesday,14844,9.729999542,36,18,341,736,2083,0.5473483546
1503960366,06/04/2016,Wednesday,11974,7.670000076,27,12,228,1173,1861,0.5473483546
1503960366,07/04/2016,Thursday,10198,6.440000057,17,20,195,1208,1755,0.5473483546
1503960366,08/04/2016,Friday,12521,7.940000057,46,22,212,1160,1895,0.5473483546
1503960366,09/04/2016,Saturday,12432,8.100000381,32,15,248,738,1883,0.5473483546
1503960366,10/04/2016,Sunday,10057,6.980000019,44,13,168,737,1755,0.5473483546
1503960366,11/04/2016,Monday,10990,7.260000229,26,14,216,855,1811,0.5473483546
1624580081,25/03/2016,Friday,1810,1.179999948,0,0,121,1319,1373,0.5473483546
1624580081,26/03/2016,Saturday,815,0.5299999714,0,0,47,1393,1264,0.5473483546
1624580081,27/03/2016,Sunday,1985,1.289999962,0,0,112,1328,1350,0.5473483546
1624580081,28/03/2016,Monday,1905,1.24000001,0,0,95,1345,1342,0.5473483546
1624580081,29/03/2016,Tuesday,1552,1.00999999,0,0,66,1374,1300,0.5473483546
1624580081,30/03/2016,Wednesday,1675,1.090000033,0,0,84,1356,1313,0.5473483546
1624580081,31/03/2016,Thursday,4506,2.930000067,7,4,144,1285,1498,0.5473483546
1624580081,01/04/2016,Friday,9218,5.989999771,0,0,221,1219,1541,0.5473483546
1624580081,02/04/2016,Saturday,1556,1.00999999,0,0,88,1352,1327,0.5473483546
1624580081,03/04/2016,Sunday,2910,1.889999986,0,0,157,1283,1452,0.5473483546
1624580081,04/04/2016,Monday,18464,12,0,0,270,1170,1574,0.5473483546
1624580081,05/04/2016,Tuesday,1335,0.8700000048,0,0,74,1366,1308,0.5473483546
1624580081,06/04/2016,Wednesday,1004,0.6499999762,0,0,55,1385,1276,0.5473483546
1624580081,07/04/2016,Thursday,1111,0.7200000286,0,0,54,1386,1278,0.5473483546
1624580081,08/04/2016,Friday,6344,4.119999886,0,0,143,1297,1409,0.5473483546
1624580081,09/04/2016,Saturday,3572,2.319999933,0,0,122,1318,1370,0.5473483546
1624580081,10/04/2016,Sunday,3910,2.539999962,7,7,186,1240,1555,0.5473483546
1624580081,11/04/2016,Monday,10000,6.5,0,0,172,1268,1469,0.5473483546
1644430081,01/04/2016,Friday,4636,3.410000086,0,16,586,838,3323,0.5473483546
1644430081,02/04/2016,Saturday,20237,14.71000004,34,141,347,918,4029,0.5473483546
1644430081,03/04/2016,Sunday,12912,9.409999847,59,16,283,1082,3436,0.5473483546
1644430081,04/04/2016,Monday,2819,2.049999952,4,4,87,1345,2444,0.5473483546
1644430081,05/04/2016,Tuesday,9921,7.210000038,5,35,219,1181,3098,0.5473483546
1644430081,06/04/2016,Wednesday,8046,5.849999905,18,41,137,1244,2925,0.5473483546
1644430081,07/04/2016,Thursday,11166,8.119999886,3,58,230,1149,3202,0.5473483546
1644430081,08/04/2016,Friday,7842,5.699999809,7,43,161,1229,2928,0.5473483546
1644430081,09/04/2016,Saturday,13840,10.06000042,18,81,192,1149,3290,0.5473483546
1844505072,01/04/2016,Friday,6847,4.53000021,9,9,251,1171,1969,0.5473483546
1844505072,02/04/2016,Saturday,5367,3.549999952,0,0,263,1177,1889,0.5473483546
1844505072,03/04/2016,Sunday,2841,1.879999995,0,0,136,1114,1636,0.5473483546
1844505072,06/04/2016,Wednesday,7,0,0,0,1,1439,1349,0.5473483546
1844505072,07/04/2016,Thursday,6344,4.190000057,0,0,290,1150,1965,0.5473483546
1844505072,08/04/2016,Friday,5316,3.50999999,0,0,221,1219,1824,0.5473483546
1844505072,09/04/2016,Saturday,4979,3.289999962,0,0,184,620,1807,0.5473483546
1844505072,10/04/2016,Sunday,6556,4.340000153,0,0,305,810,1971,0.5473483546
1844505072,11/04/2016,Monday,5430,3.589999914,0,0,251,1189,1888,0.5473483546
1927972279,01/04/2016,Friday,4317,2.99000001,0,11,192,854,2590,0.5473483546
1927972279,02/04/2016,Saturday,5662,3.920000076,0,0,267,858,2783,0.5473483546
1927972279,03/04/2016,Sunday,3198,2.210000038,0,0,146,1183,2449,0.5473483546
1927972279,04/04/2016,Monday,2352,1.629999995,0,0,128,829,2380,0.5473483546
1927972279,05/04/2016,Tuesday,2234,1.549999952,0,0,108,912,2344,0.5473483546
1927972279,06/04/2016,Wednesday,1259,0.8700000048,0,0,73,938,2202,0.5473483546
1927972279,07/04/2016,Thursday,768,0.5299999714,0,0,43,1397,2130,0.5473483546
1927972279,08/04/2016,Friday,519,0.3600000143,0,0,34,1406,2088,0.5473483546
1927972279,09/04/2016,Saturday,2523,1.75,0,9,134,1250,2443,0.5473483546
1927972279,10/04/2016,Sunday,2105,1.460000038,0,0,139,805,2442,0.5473483546
1927972279,11/04/2016,Monday,1209,0.8399999738,0,0,73,842,2255,0.5473483546
1927972279,12/04/2016,Tuesday,24,0.01999999955,0,0,3,161,942,0.5473483546
2022484408,01/04/2016,Friday,13603,9.600000381,72,16,213,1139,2645,0.5473483546
2022484408,02/04/2016,Saturday,5477,3.839999914,0,0,237,1203,2040,0.5473483546
2022484408,03/04/2016,Sunday,11144,7.820000172,25,22,279,1114,2395,0.5473483546
2022484408,04/04/2016,Monday,15313,11,62,19,233,1126,2581,0.5473483546
2022484408,05/04/2016,Tuesday,10805,7.590000153,36,37,298,1069,2735,0.5473483546
2022484408,06/04/2016,Wednesday,15392,10.93000031,47,42,258,1093,2733,0.5473483546
2022484408,07/04/2016,Thursday,18247,13.82999992,72,62,252,1054,3021,0.5473483546
2022484408,08/04/2016,Friday,13023,9.260000229,40,12,296,1092,2577,0.5473483546
2022484408,09/04/2016,Saturday,16267,12.59000015,44,16,302,1078,2811,0.5473483546
2022484408,10/04/2016,Sunday,10005,7.019999981,1,23,339,1077,2458,0.5473483546
2022484408,11/04/2016,Monday,10106,7.090000153,41,16,272,1111,2568,0.5473483546
2022484408,12/04/2016,Tuesday,6717,4.71999979,41,5,67,551,1140,0.5473483546
2026352035,01/04/2016,Friday,2605,1.620000005,0,0,166,729,1407,0.5473483546
2026352035,02/04/2016,Saturday,1229,0.7599999905,0,0,69,795,1237,0.5473483546
2026352035,03/04/2016,Sunday,2308,1.429999948,0,0,115,720,1330,0.5473483546
2026352035,04/04/2016,Monday,6679,4.139999866,0,0,263,644,1583,0.5473483546
2026352035,05/04/2016,Tuesday,5645,3.5,0,0,248,621,1538,0.5473483546
2026352035,06/04/2016,Wednesday,3180,1.970000029,0,0,185,738,1421,0.5473483546
2026352035,07/04/2016,Thursday,2767,1.720000029,0,0,170,673,1392,0.5473483546
2026352035,08/04/2016,Friday,3762,2.329999924,0,0,173,719,1425,0.5473483546
2026352035,09/04/2016,Saturday,3098,1.919999957,0,0,185,700,1413,0.5473483546
2026352035,10/04/2016,Sunday,5142,3.190000057,0,0,230,654,1515,0.5473483546
2026352035,11/04/2016,Monday,3279,2.029999971,0,0,164,694,1405,0.5473483546
2026352035,12/04/2016,Tuesday,1019,0.6299999952,0,0,64,223,600,0.5473483546
2320127002,05/04/2016,Tuesday,4931,3.319999933,0,0,175,1265,1708,0.5473483546
2320127002,06/04/2016,Wednesday,6999,4.71999979,0,0,320,1120,1950,0.5473483546
2320127002,07/04/2016,Thursday,1846,1.24000001,0,0,93,1347,1508,0.5473483546
2320127002,08/04/2016,Friday,3417,2.299999952,0,0,153,1287,1625,0.5473483546
2320127002,09/04/2016,Saturday,4863,3.279999971,1,11,208,1220,1772,0.5473483546
2320127002,10/04/2016,Sunday,2277,1.529999971,0,0,103,1337,1530,0.5473483546
2320127002,11/04/2016,Monday,11230,7.670000076,10,2,390,1038,2206,0.5473483546
2320127002,12/04/2016,Tuesday,2098,1.409999967,0,0,69,617,790,0.5473483546
2347167796,29/03/2016,Tuesday,10272,6.789999962,2,58,208,700,2041,0.5473483546
2347167796,30/03/2016,Wednesday,10533,7.099999905,21,35,255,615,2187,0.5473483546
2347167796,31/03/2016,Thursday,6760,4.46999979,0,0,250,613,1929,0.5473483546
2347167796,01/04/2016,Friday,8328,5.510000229,0,33,212,804,1935,0.5473483546
2347167796,02/04/2016,Saturday,15459,10.22000027,51,16,327,583,2438,0.5473483546
2347167796,03/04/2016,Sunday,7485,4.949999809,0,0,324,491,2035,0.5473483546
2347167796,04/04/2016,Monday,10254,6.800000191,21,25,231,638,2099,0.5473483546
2347167796,05/04/2016,Tuesday,10114,6.820000172,18,9,269,696,2096,0.5473483546
2347167796,06/04/2016,Wednesday,11107,7.340000153,14,46,196,759,2058,0.5473483546
2347167796,07/04/2016,Thursday,10320,6.849999905,15,32,315,1002,2338,0.5473483546
2347167796,08/04/2016,Friday,10209,6.75,2,6,316,711,2104,0.5473483546
2347167796,09/04/2016,Saturday,16081,10.63000011,16,32,401,970,2488,0.5473483546
2347167796,10/04/2016,Sunday,10078,6.829999924,12,3,303,463,2164,0.5473483546
2347167796,11/04/2016,Monday,10001,6.610000134,5,52,196,788,2009,0.5473483546
2873212765,01/04/2016,Friday,890,0.6000000238,0,0,41,1399,1335,0.5473483546
2873212765,02/04/2016,Saturday,2214,1.49000001,0,0,197,1243,1559,0.5473483546
2873212765,03/04/2016,Sunday,7640,5.130000114,3,15,315,1107,1845,0.5473483546
2873212765,04/04/2016,Monday,9713,6.53000021,6,24,355,1055,2046,0.5473483546
2873212765,05/04/2016,Tuesday,8432,5.670000076,0,0,374,1066,1953,0.5473483546
2873212765,06/04/2016,Wednesday,7350,4.940000057,0,0,382,1058,1910,0.5473483546
2873212765,07/04/2016,Thursday,9353,6.309999943,5,17,363,1055,2035,0.5473483546
2873212765,08/04/2016,Friday,7157,4.809999943,0,0,380,1060,1944,0.5473483546
2873212765,09/04/2016,Saturday,14103,9.56000042,46,8,288,1098,2257,0.5473483546
2873212765,10/04/2016,Sunday,5290,3.549999952,1,8,251,1180,1724,0.5473483546
2873212765,11/04/2016,Monday,7497,5.039999962,0,0,357,882,1741,0.5473483546
2891001357,02/04/2016,Saturday,4126,3.220000029,0,0,720,720,2881,0.5473483546
2891001357,05/04/2016,Tuesday,2063,1.610000014,0,0,630,99,1144,0.5473483546
3372868164,01/04/2016,Friday,5785,3.950000048,0,0,311,1129,1852,0.5473483546
3372868164,02/04/2016,Saturday,7625,5.230000019,24,1,341,1074,2069,0.5473483546
3372868164,03/04/2016,Sunday,4706,3.210000038,0,0,299,1141,1816,0.5473483546
3372868164,04/04/2016,Monday,5861,4.019999981,20,7,233,1180,1878,0.5473483546
3372868164,05/04/2016,Tuesday,4460,3.039999962,0,0,248,1192,1787,0.5473483546
3372868164,06/04/2016,Wednesday,6406,4.389999866,17,4,325,1094,2010,0.5473483546
3372868164,07/04/2016,Thursday,7392,5.099999905,14,9,332,1085,2038,0.5473483546
3372868164,08/04/2016,Friday,5551,3.789999962,0,0,282,1158,1815,0.5473483546
3372868164,09/04/2016,Saturday,8827,6.25,21,10,346,1063,2062,0.5473483546
3372868164,10/04/2016,Sunday,4662,3.180000067,22,4,152,735,1276,0.5473483546
3977333714,01/04/2016,Friday,4499,3.00999999,0,0,168,842,1288,0.5473483546
3977333714,02/04/2016,Saturday,7618,5.099999905,0,6,302,842,1490,0.5473483546
3977333714,03/04/2016,Sunday,11508,7.699999809,29,22,282,748,1630,0.5473483546
3977333714,04/04/2016,Monday,11943,7.989999771,16,43,297,710,1648,0.5473483546
3977333714,05/04/2016,Tuesday,12303,8.229999542,26,32,291,605,1649,0.5473483546
3977333714,06/04/2016,Wednesday,15425,10.31999969,24,45,331,614,1783,0.5473483546
3977333714,07/04/2016,Thursday,8422,5.630000114,0,81,139,815,1431,0.5473483546
3977333714,08/04/2016,Friday,10226,6.840000153,0,101,174,685,1524,0.5473483546
3977333714,09/04/2016,Saturday,14583,9.760000229,35,36,254,697,1697,0.5473483546
3977333714,10/04/2016,Sunday,3573,2.390000105,15,8,99,866,1232,0.5473483546
